Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Power,164,3,4.180308026975803,2.214843848047698,-5.5996508839124495,0.4687889366797174
Priority,164,3,3.7652757786920255,2.185764141798165,-3.702519480301455,0.037147565684731
Bidir,164,3,4.041818234580914,2.178588108085617,-4.017829916926166,0.0651591433268759
Power,199,3,4.270789590557924,2.298853076409707,-5.803973928693745,0.2719789338321586
Priority,199,3,3.8299032851600456,2.257419100936505,-3.696336091166245,-0.1144803209604729
Bidir,199,3,4.05556944006099,2.213266418774804,-4.083586506706373,0.0609263330770203
Power,364,3,4.5275875071028775,2.5611013836490555,-5.843167772842123,0.6160908154154686
Priority,364,3,3.962719411920694,2.458478810487974,-3.7283557359796418,0.2391645563189097
Bidir,364,3,4.224059841930323,2.432631778145623,-4.12768736690697,0.5167826538794809
Power,185,3,4.235834747137052,2.2671717284030137,-6.0598195775851735,0.2173060256757889
Priority,185,3,3.802168859515883,2.2341614502425524,-3.634940677114577,-0.1722700584007362
Bidir,185,3,4.04073060192301,2.214557468557002,-4.068120457353839,0.0498406440113381
Power,556,3,4.71386085906002,2.745074791582058,-5.810444899678027,1.064985551400433
Priority,556,3,4.0288578933670935,2.5545668082638286,-3.70365814022969,0.4357424683782892
Bidir,556,3,4.380552604034045,2.5882860753219887,-3.6707861125158097,0.9120028014776176
Power,421,3,4.593810250938528,2.624282095835668,-6.012442988829531,1.051609108717158
Priority,421,3,3.981619540703956,2.480725378988488,-3.749955580522498,0.3848159489451785
Bidir,421,3,4.188594738094655,2.388699351937125,-4.014092113699436,0.311372541127224
Power,721,5,4.847829781012785,2.857935264719429,-6.376770799877367,1.0040353611585628
Priority,721,5,4.275545231045168,2.804366633220419,-3.8144120914003454,0.4038769960443165
Bidir,721,5,4.587652260942678,2.828742498144999,-4.093707218299587,0.6841966508142477
Gauss,49,6,4.868190177212822,1.6901960800285134,-14.89819117640782,0.1178075556620886
Power,49,6,3.687159354290734,1.6901960800285134,-5.788136082296308,-0.0836449376930317
Priority,49,6,3.44144824350244,1.6901960800285134,-4.04818361364898,-0.2961087934921127
Bidir,49,6,3.688745166699565,1.6901960800285134,-4.14872031156776,-0.05551444745709
Gauss,181,4,6.329420133668536,2.257678574869185,-14.612167089368796,1.707054597292044
Power,181,4,4.24314132806547,2.257678574869185,-5.86473708714208,0.2472225929513212
Priority,181,4,3.859367146270317,2.254619921236109,-3.748428148809505,-0.0283354321887526
Bidir,181,4,4.120490336590019,2.2530497074789464,-4.206827027370724,0.3581369775421861
Gauss,68,2,4.700689538419529,1.832508912706236,-14.808461734512765,0.3156846164563983
Power,68,2,3.779782817961612,1.832508912706236,-4.8192796784927765,-0.2489229740099095
Priority,68,2,3.372978450667443,1.740362689494244,-3.618300701898605,-0.5609511467691009
Bidir,68,2,3.678930424370687,1.772280948946915,-3.8137309331889946,-0.32147293985885
Power,703,6,4.864456311592161,2.846955325019824,-6.525639281720735,0.9576662667596516
Priority,703,6,4.311403894388153,2.8160542470199244,-3.869571160361557,0.6113761996350785
