Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Gauss,9,2,2.6300887149282057,0.9542425094393248,-15.653559774527022,-2.4074454755203587
Power,9,2,2.9716880884291466,0.9542425094393248,-5.627302421469171,-1.639051657088525
Priority,9,2,2.830232134323192,0.9542425094393248,-4.285011604436172,-1.749478857575491
Bidir,9,2,3.001156577199942,0.9542425094393248,-4.526734908573346,-1.5757903081066489
Gauss,16,6,3.47584363725837,1.2041199826559248,-15.47746851547134,-1.4738444729616509
Power,16,6,3.1920619225441125,1.2041199826559248,-5.7734486673562015,-1.1875117954463013
Priority,16,6,3.0243830340033324,1.2041199826559248,-4.289968028472763,-1.3021148325494825
Bidir,16,6,3.2146286335936494,1.2041199826559248,-4.552538416344253,-1.1333033892226163
Gauss,3,6,1.6368220975871743,0.4771212547196624,-15.954589770191005,-3.318600438389987
Power,3,6,2.4082399653118496,0.4771212547196624,-5.387970813535552,-2.5744512375834407
Priority,3,6,2.342422680822206,0.4771212547196624,-4.59013923012318,-2.624051875292492
Bidir,3,6,2.538238500689552,0.4771212547196624,-4.748637454082733,-2.4241402743664184
Gauss,2,5,1.130333768495006,0.3010299956639812,-15.954589770191005,-3.2844026743613304
Power,2,5,2.290034611362518,0.3010299956639812,-5.4104366073270365,-2.6738069984078727
Priority,2,5,2.2329961103921536,0.3010299956639812,-4.790828767355183,-2.6243133672112218
Bidir,2,5,2.431363764158988,0.3010299956639812,-4.790828767355183,-2.4302876210090747
Gauss,8,3,2.507855871695831,0.9030899869919436,-15.653559774527022,-2.506284643427881
Power,8,3,2.958862387929508,0.9030899869919436,-5.2816645102479765,-1.6940080579538916
Priority,8,3,2.783992857612428,0.9030899869919436,-4.278287392173207,-1.8326352546071136
Bidir,8,3,2.9468819253369065,0.9030899869919436,-4.222511426389294,-1.6942896600917865
Gauss,3,2,1.4573771965239053,0.4771212547196624,-15.954589770191005,-3.3423092115615805
Power,3,2,2.459392487759231,0.4771212547196624,-5.21641059053876,-2.451401629931811
Priority,3,2,2.369215857410143,0.4771212547196624,-4.474505725656249,-2.5815041719778744
Bidir,3,2,2.595496221825574,0.4771212547196624,-4.6214869204790645,-2.356428207917693
Gauss,4,2,1.738384123512156,0.6020599913279624,-15.954589770191005,-3.0146690460604115
Power,4,2,2.519171463821659,0.6020599913279624,-5.279915996953199,-1.9635617463820667
Priority,4,2,2.4365601706217404,0.6020599913279624,-4.346831522894724,-2.064840027016795
Bidir,4,2,2.597420923534393,0.6020599913279624,-4.605803249809879,-2.249490345703865
Gauss,10,2,2.7038070652743285,1.0,-15.653559774527022,-2.1754088201317248
Power,10,2,2.8628466599829387,1.0,-5.620312282185757,-1.6968786984169937
Priority,10,2,2.7589118923979736,1.0,-4.448772287957714,-1.7029543700584653
Bidir,10,2,2.976808337338066,1.0,-5.044796140023361,-1.472702195716527
Gauss,7,3,2.450908629299416,0.8450980400142568,-15.653559774527022,-2.610582305076571
Power,7,3,2.719212869946346,0.8450980400142568,-5.375821732347474,-1.9035773307061004
Priority,7,3,2.631588702931388,0.8450980400142568,-4.478682857383494,-2.0465720628226367
Bidir,7,3,2.870403905279028,0.8450980400142568,-4.645047354122306,-1.7529589309337084
Gauss,7,4,2.424181349757642,0.8450980400142568,-15.954589770191005,-2.6263233865118023
Power,7,4,2.82865989653532,0.8450980400142568,-5.432808313855912,-1.8094326331256625
Priority,7,4,2.72157509759186,0.8450980400142568,-4.311013488881139,-1.9472573810588336
Bidir,7,4,2.9054103548370893,0.8450980400142568,-4.792979112229791,-1.8090855872808311
Gauss,4,4,1.8228216453031043,0.6020599913279624,-15.653559774527022,-3.076734575251744
Power,4,4,2.681467373533731,0.6020599913279624,-5.129522294189575,-2.0783189609137827
Priority,4,4,2.4789270555829246,0.6020599913279624,-4.391602161594999,-2.374784794982982
Bidir,4,4,2.640481436970422,0.6020599913279624,-4.536307037710436,-2.091564357737558
Gauss,5,4,2.0996806411092503,0.6989700043360189,-15.930904676254103,-2.987075638296356
Power,5,4,2.714664992862537,0.6989700043360189,-5.543567925326776,-2.009833679761199
Priority,5,4,2.6190933306267428,0.6989700043360189,-4.232947126026042,-2.123192773618044
Bidir,5,4,2.831741833645638,0.6989700043360189,-4.504671630334346,-1.9561325643586955
Gauss,71,2,4.766434743066835,1.8512583487190752,-15.47746851547134,0.3076961365053281
Power,71,2,3.783427117917317,1.8512583487190752,-5.96294847930854,0.0523311377773837
Priority,71,2,3.41677914883408,1.808810930860289,-4.028331417424573,-0.3174943325384647
Bidir,71,2,3.65568522890035,1.7931692984470984,-4.17660679892493,-0.1042898321529133
Gauss,21,5,3.777198895224513,1.3222192947339193,-15.255619765854984,-0.7577485316127058
Power,21,5,3.307750651558252,1.3222192947339193,-5.822790777698383,-0.6539215912728146
Priority,21,5,3.1244265876789776,1.3222192947339193,-4.3008509666544565,-0.8379506283040571
Bidir,21,5,3.388033501729085,1.3222192947339193,-4.665551153186803,-0.5348529408151594
Gauss,23,2,3.4527395157301912,1.3617278360175928,-15.653559774527022,-1.2088657622822985
Power,23,2,3.316480872636632,1.3617278360175928,-5.633189116056017,-0.8843551115334815
Priority,23,2,3.087426457036285,1.3609060865162197,-4.128185393015304,-1.1544647516417972
Bidir,23,2,3.3300783494526707,1.3617278360175928,-4.402556100435085,-0.9023401486939068
Gauss,2,4,1.130333768495006,0.3010299956639812,-16.8740179457,-3.274744718105895
Power,2,4,2.1398790864012365,0.3010299956639812,-5.206461814042718,-2.791558340106227
Priority,2,4,2.110589710299249,0.3010299956639812,-4.651498945306034,-2.7923921036739445
Bidir,2,4,2.2833012287035497,0.3010299956639812,-4.651498945306034,-2.630106386775451
Gauss,12,6,3.1506541205096408,1.0791812460476249,-15.653559774527022,-1.8372161712269288
Power,12,6,3.037393293729292,1.0791812460476249,-5.688821995630084,-1.4617863809363136
Priority,12,6,2.89473132437208,1.0791812460476249,-4.366568751536728,-1.5884687696494713
Bidir,12,6,3.129743585032639,1.0791812460476249,-4.254416151833872,-1.3613494445069632
Gauss,17,4,3.414462112500478,1.230448921378274,-15.35252977886304,-1.4671022209342697
Power,17,4,3.147276119864874,1.230448921378274,-5.884438230713398,-1.1326676948824044
Priority,17,4,2.9768622300578604,1.230448921378274,-4.3090553343065165,-1.3792671202026567
Bidir,17,4,3.230974565321292,1.230448921378274,-4.301745663372325,-1.1099795098936414
Gauss,21,3,3.5898751657300325,1.3222192947339193,-15.47746851547134,-1.2334690041245415
Power,21,3,3.243734724278052,1.3222192947339193,-5.97945349980882,-1.014823298864982
Priority,21,3,3.067885269091516,1.3222192947339193,-4.181228594700589,-1.1810166046746775
Bidir,21,3,3.305013385114525,1.3222192947339193,-4.54231371537261,-0.4752943434493241
Gauss,4,4,1.880813592280792,0.6020599913279624,-15.954589770191005,-2.9066565609727872
Power,4,4,2.40226138245468,0.6020599913279624,-5.395611947252887,-2.211444381532444
Priority,4,4,2.3143939572219625,0.6020599913279624,-4.58807114027875,-2.2808496157510727
Bidir,4,4,2.538762188781348,0.6020599913279624,-4.821401527283929,-2.0437915759415577
Gauss,3,6,1.619788758288394,0.4771212547196624,-15.954589770191005,-3.1844340970030567
Power,3,6,2.3729120029701067,0.4771212547196624,-5.332527790690428,-1.9890197851408964
Priority,3,6,2.3096301674258988,0.4771212547196624,-4.453962328455645,-2.0386454688096505
Bidir,3,6,2.5141048209728325,0.4771212547196624,-4.453962328455645,-2.05195355131374
Gauss,2,2,1.130333768495006,0.3010299956639812,-16.85883197225096,-3.374932071697863
Power,2,2,2.2764618041732443,0.3010299956639812,-5.009562209397444,-2.1168047705385886
Priority,2,2,2.1583624920952498,0.3010299956639812,-4.417834823270712,-2.4072603035136964
Bidir,2,2,2.3961993470957363,0.3010299956639812,-4.974786792813238,-2.2684746059817256
Gauss,5,5,2.109240968588203,0.6989700043360189,-15.954589770191005,-2.6738069984078727
Power,5,5,2.600537294364469,0.6989700043360189,-5.586611879108835,-1.3161576760111169
Priority,5,5,2.507855871695831,0.6989700043360189,-4.498627849624707,-1.6577170694107335
Bidir,5,5,2.72607487021537,0.6989700043360189,-4.856852231419597,-1.6969302247063431
Gauss,17,4,3.4846263797142885,1.230448921378274,-15.47746851547134,-0.9925392973493976
Power,17,4,3.235706643373936,1.230448921378274,-5.717007281270232,-0.6485269454293687
Priority,17,4,3.050106686628,1.230448921378274,-4.22195492462697,-0.7360095914376239
Bidir,17,4,3.279693778024299,1.230448921378274,-4.372759059722227,-0.7008553794840262
Gauss,12,5,3.1667014014696364,1.0791812460476249,-15.653559774527022,-1.5895579679437384
Power,12,5,3.08218675618735,1.0791812460476249,-5.855783058679861,-1.1607323975628336
Priority,12,5,2.941345766226938,1.0791812460476249,-4.170319696945432,-1.2706356915558583
Bidir,12,5,3.183032459428792,1.0791812460476249,-4.332683223636339,-1.0015314186351616
Gauss,6,2,2.1945143418824675,0.7781512503836436,-15.653559774527022,-2.617221981556764
Power,6,2,2.6486852034198645,0.7781512503836436,-5.317455339323394,-1.8480407639622247
Priority,6,2,2.574609941340188,0.7781512503836436,-4.5064185021151975,-1.8527363610849896
Bidir,6,2,2.782472624166286,0.7781512503836436,-5.004402677519138,-1.720352352085539
Gauss,15,2,3.022593314021462,1.1760912590556811,-15.653559774527022,-1.5833965256555795
Power,15,2,3.148684899760776,1.1760912590556811,-5.74043033641208,-0.9704280725709588
Priority,15,2,2.950494668898657,1.1760912590556811,-4.250308269438215,-1.334008326818121
Bidir,15,2,3.2178698122818523,1.1760912590556811,-4.310556542587775,-1.1757858085264228
Gauss,16,5,3.418311651274468,1.2041199826559248,-15.35252977886304,-1.5207582438440634
Power,16,5,3.183252044363885,1.2041199826559248,-5.852194888602535,-1.0594055183872144
Priority,16,5,3.0024360614431047,1.2041199826559248,-4.291921384002305,-1.366709946215539
Bidir,16,5,3.2599818950118755,1.2041199826559248,-4.316095505917351,-1.0787929230956388
Gauss,4,6,1.9590413923210936,0.6020599913279624,-15.954589770191005,-3.0785918602573106
Power,4,6,2.6546577546495245,0.6020599913279624,-5.485308198164096,-2.104870392724031
Priority,4,6,2.5532760461371,0.6020599913279624,-4.34632148237115,-2.338341989176977
Bidir,4,6,2.795706264798488,0.6020599913279624,-4.536050144222415,-2.0707100238221763
Gauss,8,2,2.501059262217752,0.9030899869919436,-15.653559774527022,-2.538548552666909
Power,8,2,2.8830933585756897,0.9030899869919436,-5.592974422863898,-1.6287917989744192
Priority,8,2,2.721398375521505,0.9030899869919436,-4.378757959985109,-1.7717564766498406
Bidir,8,2,2.9976047874604546,0.9030899869919436,-4.442985114327288,-1.6481021597540064
Gauss,3,4,1.5835765856339492,0.4771212547196624,-15.954589770191005,-3.3571345693885126
Power,3,4,2.3344537511509307,0.4771212547196624,-5.413100693940418,-2.625579469135856
Priority,3,4,2.2952004520032574,0.4771212547196624,-4.660181056015952,-2.664334972963533
Bidir,3,4,2.467361417430506,0.4771212547196624,-5.198779925389794,-2.4904002150765416
Gauss,31,2,3.75382513091202,1.4913616938342726,-15.653559774527022,-0.8004525835352303
Power,31,2,3.4289338545288843,1.4913616938342726,-5.632805528530957,-0.6695489989016419
Priority,31,2,3.181548550921263,1.4826892089586048,-3.9735902306800632,-0.9279932946348308
Bidir,31,2,3.351765145860503,1.4761862823845893,-4.336007533391411,-0.7370872436906646
Gauss,2,5,1.0791812460476249,0.3010299956639812,-15.653559774527022,-3.540952634510237
Power,2,5,2.0211892990699383,0.3010299956639812,-5.387869408562263,-2.993250305504868
Priority,2,5,1.968482948553935,0.3010299956639812,-5.398102609598606,-3.0232135288823105
Bidir,2,5,2.1583624920952498,0.3010299956639812,-5.398102609598606,-2.8302682151093324
Gauss,6,4,2.315620531115086,0.7781512503836436,-15.954589770191005,-2.725417801802221
Power,6,4,2.6910814921229687,0.7781512503836436,-5.491741468800617,-1.979750435799351
Priority,6,4,2.6090605499300867,0.7781512503836436,-4.426976581642893,-2.095997611597122
