Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Power,100,4,4.263947575954142,2.0,-6.159877605906393,-1.588516719041577
Priority,100,4,3.94514019609394,1.999275572005668,-4.149190579761947,-1.89687868000948
Bidir,100,4,4.221683686349226,2.0,-4.290915176804049,-1.635042915141611
Power,100,5,4.259697383754116,2.0,-6.191465527413447,-1.630187514690605
Priority,100,5,3.947886896648771,1.999879345885624,-4.099204594010489,-1.8846103894281885
Bidir,100,5,4.215485546980786,2.0,-4.340501962123059,-1.6389454346412524
Power,100,2,4.195220632782897,2.0,-5.963192322563757,-1.7104778654922248
Priority,100,2,3.749895132867296,1.909080350681131,-3.951730158457032,-2.054019542988593
Bidir,100,2,4.069506737595986,1.9589088035605144,-4.041277714518716,-1.777024154997683
Power,101,5,4.268262614322998,2.004321373782642,-6.030151457030573,-1.6394406930776242
Priority,101,5,3.9540655385983374,2.004321373782642,-4.087178964870577,-1.871849699846753
Bidir,101,5,4.245076509335453,2.004321373782642,-4.363859705754501,-1.6202228834650088
Power,101,4,4.245271326056395,2.004321373782642,-6.249332485383966,-1.6683180817679906
Priority,101,4,3.926083656722954,2.003962897095428,-4.086974268298583,-1.905615456698804
Bidir,101,4,4.161247348120599,2.004321373782642,-4.546264676252386,-1.6532379086527211
Power,101,5,4.251837547360274,2.004321373782642,-6.340442998416468,-1.385500798497967
Priority,101,5,3.947922259769213,2.004321373782642,-4.161932762176473,-1.651744699891428
Bidir,101,5,4.182927177548674,2.004321373782642,-4.33380211806253,-1.4163714594583847
Power,102,5,4.258886599287122,2.008600171761917,-6.362337982289068,-1.556133860544154
Priority,102,5,3.9527655442498735,2.008600171761917,-4.1605103019872605,-1.871470860186436
Bidir,102,5,4.247738744008935,2.008600171761917,-4.2879496662236,-1.616738081565468
Power,103,2,4.195986471891395,2.0128372247051725,-5.744742274577779,-1.7028140458548702
Priority,103,2,3.736604524218784,1.90759048821862,-4.023308927415353,-2.0654221317135724
Bidir,103,2,3.998870573398969,1.933936984479,-4.054436568722198,-1.819433692567564
Power,103,3,4.2594916768017255,2.0128372247051725,-5.339213740774951,-1.637642317858051
