Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Power,115,3,4.033073989750013,2.060697840353612,-5.607253303398517,-2.001730075637737
Priority,115,3,3.679533883028993,2.0532919084579326,-4.049681677277808,
Bidir,115,3,3.947778068983145,2.045757490560675,-4.231218736226034,-0.8413028277171878
Power,706,3,4.814345449556075,2.848804701051804,-6.542677658582972,-0.0626756138720988
Priority,706,3,4.057699256383671,2.5912073496676866,-3.932467521094499,-0.9795621386859176
Bidir,706,3,4.315318926492345,2.539108281866036,-4.328196132363525,-0.4470117779040768
Power,89,2,3.9181352261663593,1.949390006644913,-5.166220044505026,
Priority,89,2,3.4868710834609886,1.8600050862925952,-3.9532022569242704,
Bidir,89,2,3.630989732357501,1.7442929831226763,-4.348797491179817,
Power,407,3,4.58067502995397,2.6095944092252203,-6.140327988939432,-0.1519902682402205
Priority,407,3,3.972943008105568,2.465891370152295,-3.97839447997907,
Bidir,407,3,4.243248940507922,2.462595001523066,-4.33111495602359,-0.6088873542922606
Power,61,2,3.731841924320636,1.785329835010767,-5.809909875925572,
Priority,61,2,3.3737734276862907,1.7266107917944309,-3.963781262095135,
Bidir,61,2,3.577990476096534,1.726144810545967,-4.160188437373441,
Power,494,3,4.6648306829513375,2.693726948923647,-6.029929385266689,-0.1292395911041237
Priority,494,3,4.008161846557025,2.5200696232675712,-3.951358013642911,-0.4196722501414984
Bidir,494,3,4.312881338910014,2.5261351436695625,-4.274368032761498,-0.4642358392271778
Power,29,2,3.4356137408985457,1.462397997898956,-5.45745315617229,
Priority,29,2,3.127551603426752,1.4551075116535903,-4.14079620152608,
Bidir,29,2,3.3567180126251746,1.447158031342219,-4.391075960863859,
Power,86,2,3.907900800876911,1.934498451243568,-5.2815121205167,
Priority,86,2,3.4629218303693428,1.8376235058185493,-3.919577385330743,
Bidir,86,2,3.6370920557482656,1.804101553962652,-4.272365889028486,
Power,120,3,4.044199926609474,2.0791812460476247,-5.849513494103956,0.1745328923520857
Priority,120,3,3.685592470863416,2.0690099501943866,-3.998620991215577,-0.3162668337278149
Bidir,120,3,3.977817565275008,2.0757496659385226,-4.575886192423409,-0.0429494584847848
Power,431,3,4.6075357228132,2.634477270160732,-5.499285181822296,0.609714923676895
Priority,431,3,4.000556226317078,2.5078203770709977,-4.024639100524242,0.0572722257961219
Bidir,431,3,4.204904289873877,2.384947324436819,-4.313128892228416,0.5060292816782815
Power,234,3,4.325842265413923,2.369215857410143,-6.394334420950414,0.6609956497670376
